code,country,Region,Life Sat (0-10),Life Exp (years),Footprint (g ha /cap),HLY,HPI,HPI rank,GDP per capita ($ PPP),HDI,population
1,Albania,7b,5.5,76.2,2.2,41.7,47.91,54,"5,316",0.801,"3,153,731"
2,Algeria,3a,5.6,71.7,1.7,40.1,51.23,40,"7,062",0.733,"32,854,159"
3,Angola,4a,4.3,41.7,0.9,17.8,26.78,130,"2,335",0.446,"16,095,214"
5,Argentina,1b,7.1,74.8,2.5,53.4,58.95,15,"14,280",0.869,"38,747,148"
6,Armenia,7a,5,71.7,1.4,36.1,48.28,48,"4,945",0.775,"3,017,661"
7,Australia,2a,7.9,80.9,7.8,63.7,36.64,102,"31,794",0.962,"20,399,836"
8,Austria,2c,7.8,79.4,5,61.9,47.69,57,"33,700",0.948,"8,233,300"
9,Azerbaijan,7a,5.3,67.1,2.2,35.4,41.21,85,"5,016",0.746,"8,391,850"
12,Bangladesh,5a,5.3,63.1,0.6,33.1,54.09,31,"2,053",0.547,"153,281,120"
14,Belarus,7c,5.8,68.7,3.9,40.1,35.67,104,"7,918",0.804,"9,775,591"
15,Belgium,2c,7.6,78.8,5.1,60,45.36,64,"32,119",0.946,"10,478,650"
16,Belize,1a,6.6,75.9,2.6,50.2,54.53,27,"7,109",0.778,"291,800"
17,Benin,4c,3,55.4,1,16.7,24.58,134,"1,141",0.437,"8,490,301"
18,Bhutan,5a,6.1,64.7,1,39.7,58.5,17,"3,649",0.579,"637,013"
19,Bolivia,1b,6.5,64.7,2.1,42.1,49.35,47,"2,819",0.695,"9,182,015"
20,Bosnia and Herzegovina,7b,5.9,74.5,2.9,44,44.96,65,"7,032",0.803,"3,781,274"
21,Botswana,4a,4.7,48.1,3.6,22.6,20.85,141,"12,387",0.654,"1,835,938"
22,Brazil,1b,7.6,71.7,2.4,54.3,61.01,9,"8,402",0.8,"186,830,759"
24,Bulgaria,7b,5.5,72.7,2.7,39.8,42.04,82,"9,032",0.824,"7,740,000"
25,Burkina Faso,4c,3.6,51.4,2,18.7,22.4,138,"1,213",0.37,"13,933,363"
26,Burma,5a,5.9,60.8,1.1,35.6,51.23,39,"1,027",0.583,"47,967,266"
27,Burundi,4b,2.9,48.5,0.8,14.3,21.84,139,699,0.413,"7,858,791"
28,Cambodia,6c,4.9,58,0.9,28.4,42.34,80,"2,727",0.598,"13,955,507"
29,Cameroon,4c,3.9,49.8,1.3,19.6,27.22,126,"2,299",0.532,"17,795,149"
30,Canada,2b,8,80.3,7.1,64,39.4,89,"33,375",0.961,"32,312,000"
32,Central African Republic,4a,4,43.7,1.6,17.6,22.88,137,"1,224",0.384,"4,191,429"
33,Chad,4b,5.4,50.4,1.7,27,34.27,109,"1,427",0.388,"10,145,609"
34,Chile,1b,6.3,78.3,3,49.2,49.72,46,"12,027",0.867,"16,295,102"
35,China,6a,6.7,72.5,2.1,48.6,57.11,20,"6,757",0.777,"1,304,500,000"
36,Colombia,1b,7.3,72.3,1.8,53,66.1,6,"7,304",0.791,"44,945,790"
38,Congo,4a,3.6,54,0.5,19.7,32.43,112,"1,262",0.548,"3,609,851"
39,"Congo, Dem. Rep. of the",4a,3.9,45.8,0.6,18,29.04,120,714,0.411,"58,740,547"
40,Costa Rica,1a,8.5,78.5,2.3,66.7,76.12,1,"10,180",0.846,"4,327,228"
42,Croatia,7b,6.4,75.3,3.2,48.3,47.23,60,"13,042",0.85,"4,443,350"
43,Cuba,1a,6.7,77.7,1.8,52.4,65.68,7,"6,000",0.838,"11,259,905"
44,Cyprus,2e,7.2,79,4.5,56.6,46.19,62,"22,699",0.903,"757,800"
45,Czech Republic,7b,6.9,75.9,5.4,52,38.31,92,"20,538",0.891,"10,234,092"
46,Denmark,2d,8.1,77.9,8,62.9,35.47,105,"33,973",0.949,"5,415,978"
47,Djibouti,4b,5.7,53.9,1.5,30.5,40.44,87,"2,178",0.516,"804,206"
49,Dominican Republic,1a,7.6,71.5,1.5,54.2,71.78,2,"8,217",0.779,"9,469,601"
50,Ecuador,1b,6.4,74.7,2.2,48,55.46,25,"4,341",0.772,"13,060,993"
51,Egypt,3a,6.7,70.7,1.7,47.2,60.32,12,"4,337",0.708,"72,849,793"
52,El Salvador,1a,6.7,71.3,1.6,47.6,61.46,8,"5,255",0.735,"6,668,356"
55,Estonia,7b,5.6,71.2,6.4,40.1,26.42,131,"15,478",0.86,"1,346,100"
56,Ethiopia,4b,4,51.8,1.4,20.6,28.1,124,"1,055",0.406,"75,173,000"
58,Finland,2d,8,78.9,5.2,63.3,47.23,59,"32,153",0.952,"5,246,100"
59,France,2c,7.1,80.2,4.9,56.6,43.86,71,"30,386",0.952,"60,873,000"
62,Georgia,7a,4.3,70.7,1.1,30.1,43.6,72,"3,365",0.754,"4,473,409"
63,Germany,2c,7.2,79.1,4.2,56.8,48.07,51,"29,461",0.935,"82,469,400"
64,Ghana,4c,4.7,59.1,1.5,28,37.1,100,"2,480",0.553,"22,535,010"
65,Greece,2e,6.8,78.9,5.9,54,37.58,97,"23,381",0.926,"11,104,000"
67,Guatemala,1a,7.4,69.7,1.5,51.8,68.37,4,"4,568",0.689,"12,709,564"
68,Guinea,4c,4,54.8,1.3,21.8,30.25,116,"2,316",0.456,"9,002,656"
70,Guyana,1a,6.5,65.2,2.6,42.6,45.63,63,"4,508",0.75,"739,472"
71,Haiti,1a,5.2,59.5,0.5,30.8,50.84,42,"1,663",0.529,"9,296,291"
72,Honduras,1a,7,69.4,1.8,48.7,60.99,10,"3,430",0.7,"6,834,110"
73,Hong Kong,6b,7.2,81.9,5.7,58.6,41.6,84,"34,833",0.937,"6,813,200"
74,Hungary,7b,5.7,72.9,3.5,41.8,38.86,90,"17,887",0.874,"10,087,050"
75,Iceland,2d,7.8,81.5,7.4,63.9,38.14,94,"36,510",0.968,"296,750"
76,India,5a,5.5,63.7,0.9,35.1,53.03,35,"3,452",0.619,"1,094,583,000"
77,Indonesia,6c,5.7,69.7,0.9,39.5,58.92,16,"3,843",0.728,"220,558,000"
78,Iran,3b,5.6,70.2,2.7,39.5,42.08,81,"7,968",0.759,"69,087,070"
79,Ireland,2c,8.1,78.4,6.3,63.8,42.62,78,"38,505",0.959,"4,159,100"
80,Israel,3b,7.1,80.3,4.8,56.8,44.49,67,"25,864",0.932,"6,923,600"
81,Italy,2e,6.9,80.3,4.8,55.7,44.02,69,"28,529",0.941,"58,607,050"
82,Jamaica,1a,6.7,72.2,1.1,48.5,70.09,3,"4,291",0.736,"2,654,500"
83,Japan,6b,6.8,82.3,4.9,55.6,43.25,75,"31,267",0.953,"127,773,000"
84,Jordan,3b,6,71.9,1.7,43.1,54.59,26,"5,530",0.773,"5,411,500"
85,Kazakhstan,7a,6.1,65.9,3.4,40.4,38.54,91,"7,857",0.794,"15,147,050"
86,Kenya,4b,3.7,52.1,1.1,19.1,27.77,125,"1,240",0.521,"35,598,952"
87,Korea,6b,6.3,77.9,3.7,49.1,44.43,68,"22,029",0.921,"48,294,143"
88,Kuwait,3b,6.7,77.3,8.9,51.6,27.04,128,"26,321",0.891,"2,535,446"
89,Kyrgyzstan,7a,5,65.6,1.1,32.7,47.09,61,"1,927",0.696,"5,143,500"
90,Laos,6c,6.2,63.2,1.1,39.4,57.34,19,"2,039",0.601,"5,663,910"
91,Latvia,7b,5.4,72,3.5,39.1,36.67,101,"13,646",0.855,"2,300,500"
92,Lebanon,3b,4.7,71.5,3.1,33.7,33.56,110,"5,584",0.772,"4,010,740"
95,Lithuania,7b,5.8,72.5,3.2,41.8,40.9,86,"14,494",0.862,"3,414,300"
96,Luxembourg,2c,7.7,78.4,10.2,60.1,28.47,122,"60,228",0.944,"456,710"
97,Macedonia,7b,5.5,73.8,4.6,40.5,32.66,111,"7,200",0.801,"2,033,655"
98,Madagascar,4a,3.7,58.4,1.1,21.8,31.54,113,923,0.533,"18,642,586"
99,Malawi,4a,4.4,46.3,0.5,20.6,34.47,107,667,0.437,"13,226,091"
100,Malaysia,6c,6.6,73.7,2.4,48.6,54.05,33,"10,882",0.811,"25,652,985"
102,Mali,4c,3.8,53.1,1.6,20,25.77,132,"1,033",0.38,"11,611,090"
103,Malta,2e,7.1,79.1,3.8,56,50.36,44,"19,189",0.878,"403,500"
104,Mauritania,4c,5,63.2,1.9,31.3,38.21,93,"2,234",0.55,"2,963,105"
106,Mexico,1a,7.7,75.6,3.4,58.3,55.58,23,"10,751",0.829,"103,089,133"
107,Moldova,7b,5.7,68.4,1.2,38.7,54.08,32,"2,100",0.708,"3,876,661"
108,Mongolia,7a,5.7,65.9,3.5,37.3,34.95,106,"2,107",0.7,"2,554,000"
109,Morocco,3a,5.6,70.4,1.1,39.7,56.75,21,"4,555",0.646,"30,142,709"
