Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/30/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24004.82508,25754.13137,26413.89824,27309.92938,28528.27406,28517.66152,28366.92217,30072.00956,30355.23961,30595.57073,32990.17443,32018.72084,30752.78346,31318.03675,34120.162,35184.58271,36355.43833,37849.23348,38506.08725,34682.79012,33740.87089,35490.18398,35466.70223,37330.51825,38098.32659,38137.33358,38365.44605,39409.22753,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.1371339,909.8625576,906.6644703,1001.410407,1052.924482,1196.963863,1236.874766,1474.479477,1659.507551,1649.150373,1832.734639,1902.50841,1927.08732,1918.938459,1934.61684,1972.178018,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995.661116,3030.931486,2825.645746,2127.633412,2132.402846,2428.373379,2728.585592,2896.923071,2983.609482,3008.903942,3076.632312,3174.383396,3540.699271,3590.407916,3949.493773,4524.519253,5019.808921,5669.653527,6201.401882,6081.32919,6228.342912,6346.944372,6770.668417,6970.313604,7182.827798,7082.241175,6756.144137,6643.754972,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.926433,1909.591657,1823.522005,2058.654526,2290.990927,2666.249235,2980.447411,2717.364859,3021.006806,3471.661727,3861.353383,4301.332303,4661.366148,4994.524066,5422.770252,5865.310504,6559.777896,7276.307768,8228.318168,8814.84716,9627.93729,10207.71889,10526.28013,10571.00365,11259.27972,11661.98118,11890.50039,12943.46071,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6712.308081,6773.164381,7152.310393,7355.906195,7543.044954,7672.544235,7993.243876,8297.740384,8697.135444,8851.454971,9330.326244,9511.272226,9510.6073,9915.247952,10882.17884,11598.06863,12394.96613,12985.14231,13674.79844,13578.15532,14066.3352,14446.97175,15336.06022,15705.74155,16013.77595,16362.53121,16792.45492,16955.43602,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71376.15091,70238.33896,70093.36651,68690.58908,71084.64201,73622.3664,75543.49559,79158.20818,76345.04082,75758.56735,81351.36414,80029.02844,78934.63552,82099.8058,84604.3423,81736.47692,80841.04951,74271.68145,68508.70682,58822.14614,56074.88069,58363.67822,60513.61971,63839.33558,67360.34745,70887.39073,73017.48001,73878.46766,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7325.682567,8145.332833,8869.030241,9693.967279,10342.47624,10129.77779,10754.19842,11688.7464,12132.51039,11769.14997,11810.06136,11419.05887,10217.2731,11217.57193,12430.71372,13817.71407,15227.5125,16865.54476,17711.44179,16618.12085,18333.5437,19629.35185,19579.00648,20161.49683,19802.10001,20356.91551,20042.54002,20784.76831,
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.860926,2227.669456,1350.108251,1290.473115,1422.709776,1584.60047,1734.655302,1843.378545,2015.105575,2126.915169,2318.238073,2613.784567,3020.453987,3531.968643,4031.947204,4769.489004,5607.645869,6605.216696,7260.968756,6323.578336,6567.258582,7022.103943,7649.491409,7997.387128,8397.099177,8727.558325,8832.763435,9647.486113,
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10587.59341,11076.67952,11272.82534,11887.90255,12629.81927,12012.90714,12693.72326,13247.5748,13653.98243,14029.08741,14987.41107,14317.23856,14480.07998,15479.22185,16633.54446,18065.80508,20747.37565,22996.70587,23162.68585,20271.08622,18824.07292,18605.31659,19398.0595,19480.11687,20532.81529,21364.59281,22611.28465,23472.30671,
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17338.4672,17788.91338,18187.74639,19121.09734,20069.46278,20890.17053,21962.52308,22924.1264,24176.0621,25250.51285,26316.94788,27348.14676,28706.43781,29678.48929,31311.63694,32539.08157,34291.28776,36512.50384,37409.16307,40234.41792,39274.76423,41894.17305,42733.93625,45794.40427,46742.80265,46220.25126,46144.12081,48460.04928,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19452.46636,20585.15301,21259.90972,21700.71336,22607.7419,23658.77108,24523.88346,25412.3676,26652.83157,27606.48303,29375.4048,29739.94153,31178.69333,32106.466,33755.14293,35013.71404,37627.97092,39385.74227,41316.22518,40919.15058,42047.03268,44452.73275,46457.34578,47922.04912,48787.49159,49883.0413,50521.48262,52397.75435,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502.433989,5558.818413,4334.433664,3361.035497,2719.340227,2420.444864,2471.585879,2634.158631,2901.351672,3136.093893,3534.329148,3942.084882,4393.967199,4945.907916,5551.448842,7169.150431,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16180.88715,17171.76137,17608.37063,17782.02615,17256.62697,17398.16356,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.9271372,707.0273983,715.0820612,673.2994632,650.0059341,601.7390925,556.3295678,550.3869126,575.7919074,570.1655043,567.1445188,577.9866076,596.0664623,582.2424671,607.1442483,611.8053526,642.9118882,660.0812933,682.3156169,690.4408835,711.3965507,732.2629901,755.8289272,782.3115809,805.6505243,759.0321026,740.5178733,733.892808,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18768.80691,19675.76232,20349.59192,20552.92621,21601.00355,22530.16064,22886.1257,23916.49594,24543.93302,25642.26165,27983.99612,28982.59509,30482.78465,31054.30539,32249.49946,33332.33135,35390.85353,36866.26563,38133.50146,38001.99092,40091.00999,41248.72534,42354.63149,43519.77792,44601.36711,45414.8906,46416.8542,47840.19714,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.3767455,984.313665,1001.087611,1047.404741,1054.55141,1104.637026,1137.108275,1186.416881,1210.449119,1256.962393,1320.889575,1380.620229,1422.954063,1456.364545,1516.430287,1545.698265,1608.772887,1701.207073,1768.744657,1773.168783,1781.987066,1820.894693,1890.14073,2002.106604,2108.016041,2116.036775,2167.272847,2271.675412,
